"MonthlyEarnings","AveWeeklyHours","IQ","Knowledge","YearsEdu","YearsExperience","Tenure","Age","Married","Black","South","Urban","NumSiblings","BirthOrder","MomEdu","DadEdu"
600.79,668,73,38,12,1,1,31,1,1,0,1,1,NA,NA,NA
1371.88,1526,84,35,12,17,2,38,1,0,0,0,4,2,16,12
1227.59,1366,103,36,15,8,2,36,1,0,1,0,2,1,12,15
1478.33,1644,98,40,12,17,2,33,1,0,0,1,0,1,14,10
408.02,454,84,28,12,7,8,31,1,1,1,1,2,2,NA,NA
461.23,513,93,38,12,4,2,32,1,0,1,1,1,NA,16,13
1943.1,2161,117,48,18,8,2,33,1,0,0,1,2,2,12,18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491.33,1659,117,41,17,1,9,35,1,0,0,1,4,1,6,8
2102.76,2339,109,43,16,14,13,36,1,0,0,1,0,1,11,12
931.93,1037,96,42,12,13,5,36,1,0,1,1,4,1,12,12
948.48,1055,99,26,12,13,12,29,1,1,1,1,8,6,9,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2245.86,2498,127,49,18,9,14,36,0,0,0,1,0,1,10,NA
768.72,855,97,27,10,14,9,30,1,0,1,0,5,1,12,9
1542.18,1715,119,36,17,9,9,31,1,0,0,0,1,1,13,12
827.86,921,73,23,12,17,9,38,1,1,1,0,8,3,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064.39,1184,86,28,12,17,15,37,1,0,0,1,5,3,8,10
881.08,980,94,40,13,17,1,36,0,0,0,0,2,3,13,8
792.37,881,108,43,12,14,8,34,1,0,1,1,5,1,11,7
1467.68,1633,83,51,13,9,10,33,1,0,1,1,2,3,12,12
532.19,592,63,26,11,12,4,31,1,1,1,1,7,2,7,NA
923.66,1027,112,33,12,8,10,30,1,0,0,1,2,2,12,8
1182.66,1316,102,46,16,13,11,35,1,0,0,1,6,2,10,12
3640.21,4049,107,23,13,11,4,29,1,0,0,1,2,2,12,12
1558.74,1734,118,47,16,16,17,37,1,0,0,0,1,1,8,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1537.45,1710,100,38,12,13,15,31,1,0,0,1,4,2,11,NA
1241.79,1381,97,31,15,4,9,31,1,1,1,1,2,1,16,9
1847.3,2055,97,28,17,7,2,32,1,0,1,1,5,1,12,13
924.83,1029,92,24,13,9,10,31,1,0,0,1,3,3,8,NA
2444.55,2719,106,41,16,12,13,33,1,0,1,1,2,1,14,12
888.17,988,96,42,12,9,7,38,1,0,0,0,1,1,10,8
759.26,845,87,26,13,9,3,30,1,0,1,0,10,10,4,10
1563.47,1739,128,43,16,7,1,33,1,0,1,1,0,1,18,NA
827.86,921,120,38,16,10,1,29,1,0,1,1,1,1,12,12
526.28,585,91,40,12,11,4,32,1,0,1,0,0,1,6,8
946.12,1052,96,27,12,10,1,29,1,0,1,0,1,1,10,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445.86,496,83,32,12,9,1,36,0,0,1,1,1,1,12,12
638.63,710,70,25,10,12,10,29,1,1,1,0,9,NA,10,7
798.29,888,105,27,15,8,2,31,1,0,0,0,3,NA,14,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1272.54,1416,105,24,12,5,8,31,0,0,0,1,1,1,16,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668.73,1856,121,40,18,14,3,38,1,0,0,1,3,2,12,16
1364.78,1518,98,35,14,18,2,37,1,0,0,1,1,NA,10,14
1332.85,1483,98,45,12,17,12,36,1,0,1,1,1,2,14,12
816.03,908,119,35,12,9,5,28,1,0,0,1,1,2,8,NA
384.37,428,113,39,12,11,5,29,1,0,1,0,1,2,10,13
946.12,1052,115,38,12,20,12,38,1,0,0,0,7,6,7,8
1900.53,2114,108,41,13,7,9,36,1,0,0,1,2,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
955.59,1063,106,34,12,4,3,29,1,0,0,1,1,2,8,7
384.37,428,93,44,14,10,1,33,1,1,1,1,1,NA,16,NA
1300.92,1447,122,38,14,11,8,33,1,0,0,1,2,3,8,10
1426.28,1587,110,37,12,16,4,38,1,0,0,1,1,1,12,12
1478.33,1644,95,23,12,12,2,32,1,0,0,1,2,2,12,12
1182.66,1316,89,31,12,9,5,28,1,0,0,1,2,3,13,12
1843.76,2051,103,32,12,17,10,34,1,0,0,1,3,4,8,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1558.74,1734,122,47,17,10,9,33,1,0,0,1,1,NA,12,8
1075.04,1196,95,39,13,6,2,31,1,0,0,1,2,1,12,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648.1,721,86,22,11,7,0,33,1,1,0,1,5,2,11,NA
1552.83,1727,107,37,12,11,7,28,1,0,0,0,1,NA,12,NA
1212.23,1348,104,25,12,12,7,29,1,0,0,1,3,4,12,10
949.67,1056,120,35,13,4,1,28,1,0,1,1,3,4,10,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689.49,767,113,29,16,9,0,30,1,0,0,1,2,2,12,9
923.66,1027,89,24,11,13,10,30,1,0,0,1,3,1,9,8
662.29,737,112,37,16,13,2,32,1,0,1,0,3,1,8,2
1168.46,1300,91,39,12,15,15,36,1,0,1,1,1,2,8,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137.71,1266,109,44,12,21,12,37,1,0,1,0,0,1,6,NA
1182.66,1316,103,40,12,17,2,34,1,0,0,1,1,1,8,NA
1576.48,1754,112,50,16,14,8,38,1,0,1,1,1,2,12,4
1915.9,2131,111,42,15,8,5,29,1,0,0,0,1,2,10,NA
1023,1138,130,39,16,5,3,30,1,0,0,1,4,2,8,12
1852.03,2060,127,44,12,7,1,29,1,0,0,1,3,2,11,NA
2482.39,2761,119,38,16,10,4,32,1,0,0,1,0,1,12,12
1052.56,1171,92,20,14,9,8,32,1,0,0,1,1,2,7,7
1064.39,1184,125,40,15,4,3,30,0,0,0,0,2,NA,12,12
1433.38,1594,129,33,14,9,3,32,0,0,0,1,6,7,8,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2270.7,2526,109,32,12,13,2,31,1,0,0,0,0,1,12,8
891.72,992,104,37,13,9,5,32,1,0,0,1,1,2,8,NA
2527.34,2811,120,48,16,16,3,37,1,0,1,1,3,3,12,12
1705.38,1897,114,38,12,16,17,33,1,0,0,1,2,3,12,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1156.63,1287,104,36,12,19,15,36,1,0,0,1,5,6,6,NA
614.98,684,126,23,16,8,1,30,1,0,0,1,7,5,12,12
549.94,612,84,33,13,10,1,29,1,0,0,1,3,3,11,11
827.86,921,81,26,12,13,13,31,1,0,1,0,5,6,8,4
762.82,849,93,39,12,11,3,35,1,0,1,0,7,7,7,8
1041.92,1159,90,41,12,4,14,36,1,0,0,0,2,3,12,NA
313.41,349,101,43,12,18,2,37,1,0,0,1,1,2,NA,NA
694.22,772,117,40,17,8,5,29,1,0,0,0,3,3,12,NA
669.38,745,104,46,16,5,2,32,1,0,1,0,1,2,12,12
1278.45,1422,92,34,13,8,2,30,1,0,1,1,3,4,12,10
1421.55,1581,124,23,15,11,8,28,1,0,0,1,2,2,10,NA
886.99,987,104,36,12,15,11,33,1,0,0,0,0,1,12,12
993.43,1105,96,34,12,18,13,35,1,0,0,1,2,1,12,8
1648.62,1834,118,41,16,11,8,30,1,0,0,0,2,1,13,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011.17,1125,109,36,12,17,15,36,1,0,0,0,3,1,7,6
1501.97,1671,84,40,12,11,12,30,1,0,0,1,2,2,12,12
865.7,963,104,36,12,10,7,36,1,0,1,1,1,2,NA,NA
895.27,996,113,35,16,10,9,33,1,0,0,1,2,1,12,12
1271.35,1414,103,31,12,17,10,33,1,0,0,1,13,3,11,11
840.87,935,110,38,16,8,5,32,1,0,1,1,3,2,13,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1365.97,1519,102,36,12,16,5,34,1,0,0,1,1,2,12,NA
1478.33,1644,102,26,12,6,2,32,0,0,0,1,4,2,11,8
581.87,647,67,38,12,15,2,34,1,1,1,0,3,NA,8,NA
853.87,950,113,36,16,8,1,38,0,0,1,1,1,2,8,NA
1111.7,1237,71,20,11,9,2,29,1,0,0,0,2,3,NA,NA
790.01,879,109,29,12,11,12,29,1,0,0,0,2,3,8,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
769.91,856,76,30,11,11,2,29,1,1,0,1,7,7,10,11
1478.33,1644,78,36,12,16,3,33,1,0,0,1,9,NA,6,2
2009.33,2235,96,19,12,10,1,29,0,0,1,1,2,3,12,12
1655.72,1842,92,34,12,15,5,36,1,0,1,1,2,1,6,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101.05,1225,108,40,16,4,1,36,1,0,0,1,4,2,12,12
2103.94,2340,132,42,17,8,9,32,1,0,0,1,1,1,17,14
1300.92,1447,104,41,12,18,7,37,1,0,0,1,2,3,11,13
1318.66,1467,118,40,16,12,13,33,1,0,0,1,1,1,8,NA
693.03,771,111,37,18,6,10,34,1,0,0,0,3,1,12,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1326.93,1476,102,54,17,7,13,32,1,0,1,1,2,2,12,11
1201.58,1337,72,18,10,14,15,37,1,1,0,1,8,9,11,NA
888.17,988,104,32,12,15,4,34,1,0,1,1,4,3,8,3
567.67,631,83,37,12,9,3,37,1,0,1,1,4,3,10,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,1577,70,28,13,13,5,30,1,1,1,1,3,1,8,NA
2527.34,2811,102,35,13,8,2,30,1,0,1,0,0,1,12,12
709.59,789,107,32,12,16,6,33,1,0,0,0,5,6,8,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
970.96,1080,85,39,16,8,2,32,1,0,0,1,5,6,8,8
709.59,789,87,15,10,20,7,36,1,0,1,0,0,1,5,6
940.21,1046,89,35,11,16,4,34,1,0,0,1,6,1,NA,NA
2067.28,2300,123,48,17,10,7,36,1,0,0,1,1,1,12,12
1591.85,1771,90,44,16,9,16,38,1,0,0,1,1,1,12,12
1501.97,1671,104,34,16,8,4,31,1,0,1,1,3,4,16,17
650.46,724,95,34,12,14,13,31,1,0,1,0,0,1,5,5
443.49,493,75,24,12,12,5,30,0,0,0,0,4,1,12,8
946.12,1052,75,37,13,14,1,38,1,0,1,1,0,1,12,10
733.25,816,99,22,11,10,5,29,1,1,0,1,11,5,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591.33,658,90,47,12,19,4,37,1,0,0,0,0,1,12,6
2556.9,2844,116,38,15,9,4,31,1,0,0,1,2,1,12,17
946.12,1052,110,35,14,8,5,28,1,0,0,1,3,4,12,10
2045.99,2276,117,41,18,12,12,37,1,0,0,1,1,2,12,8
1300.92,1447,117,51,16,11,12,32,1,0,0,0,0,1,12,10
1504.34,1673,107,39,12,10,1,30,1,0,0,1,4,3,12,12
759.26,845,93,18,12,12,7,30,1,1,1,1,1,2,6,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410.91,1569,82,38,12,19,10,36,1,0,1,1,0,1,12,NA
844.41,939,125,34,16,7,5,28,1,0,0,1,4,1,10,10
1033.64,1150,132,37,13,8,2,33,1,0,0,0,2,1,13,16
1989.22,2213,107,41,14,15,9,32,1,0,1,1,0,1,12,12
785.28,874,105,30,12,8,10,29,1,0,0,1,7,6,12,12
591.33,658,107,40,12,21,12,38,1,0,1,0,2,NA,12,7
546.38,608,61,24,12,6,4,29,1,1,1,0,9,NA,8,3
1213.4,1350,125,33,12,11,11,28,1,0,0,1,3,1,14,17
1460.58,1625,82,45,12,10,2,33,1,0,0,1,1,1,11,11
1011.17,1125,89,21,12,6,6,31,1,0,1,0,4,3,3,3
1717.22,1910,115,45,17,1,7,30,1,0,0,1,3,1,12,14
425.76,474,110,44,13,11,1,38,0,1,0,1,4,NA,12,8
1159,1289,101,41,12,4,12,36,1,0,0,1,1,NA,6,9
1336.41,1487,105,38,12,18,2,37,1,0,0,1,4,2,10,10
546.38,608,112,35,12,11,1,29,1,0,0,1,8,3,12,NA
604.33,672,101,25,12,13,1,30,1,0,0,1,4,2,11,12
909.47,1012,120,49,18,8,12,32,0,0,0,1,1,1,11,8
808.94,900,106,45,13,16,2,38,1,0,1,1,1,1,12,14
1407.36,1565,119,38,17,4,2,34,1,0,0,1,0,1,12,14
1135.35,1263,107,23,12,11,9,29,1,1,1,1,11,2,6,9
875.17,974,84,31,10,23,13,38,1,0,0,0,5,1,NA,9
743.89,827,93,32,12,6,1,30,1,1,1,0,8,3,10,6
1137.71,1266,124,43,16,7,14,34,1,0,0,1,2,2,9,11
1005.25,1118,113,26,12,7,3,28,1,0,0,1,1,2,8,12
1297.38,1443,80,27,11,12,12,28,1,0,0,0,5,1,12,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1773.98,1973,124,20,16,6,6,29,1,0,1,0,2,NA,12,10
2166.63,2410,97,38,12,16,1,36,1,0,0,1,1,2,8,12
1069.12,1189,98,29,13,7,1,33,1,0,0,1,5,NA,12,NA
768.72,855,69,37,12,14,11,30,1,1,0,1,3,4,10,9
737.98,821,92,40,10,18,10,36,1,0,1,0,2,3,10,6
2275.43,2531,105,42,16,14,13,36,1,0,0,0,0,1,12,NA
1176.74,1309,92,23,9,22,13,38,1,1,0,1,7,3,7,4
1583.57,1761,96,42,12,8,9,33,1,0,0,1,0,1,12,11
909.47,1012,105,45,18,7,15,38,0,0,0,1,2,3,9,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1361.23,1514,90,38,12,19,19,36,1,0,0,1,1,1,12,8
909.47,1012,100,34,12,18,12,36,1,0,0,0,1,2,8,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3640.21,4049,120,50,14,12,13,36,1,0,1,1,1,2,12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443.49,493,99,29,10,12,2,30,1,0,1,0,3,2,8,5
1137.71,1266,85,41,10,15,16,38,1,0,0,1,1,2,9,12
1079.77,1201,110,26,14,4,13,29,1,0,0,1,3,4,9,NA
1421.55,1581,114,28,16,6,6,28,1,0,0,1,3,3,16,16
819.58,912,101,29,12,7,6,28,1,0,0,0,1,2,12,12
1005.25,1118,109,32,12,11,2,31,1,0,0,0,2,2,17,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591.33,658,83,20,12,13,11,32,1,0,0,1,5,1,6,6
1213.4,1350,105,34,16,12,1,35,1,0,0,1,3,1,14,10
1045.47,1163,106,42,10,19,12,34,1,0,0,1,2,1,7,10
473.06,526,75,33,12,11,6,32,1,0,0,1,4,NA,7,12
1478.33,1644,106,36,12,14,19,35,1,0,0,1,4,1,11,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150.73,1280,81,33,13,11,5,32,1,0,1,1,0,1,6,9
840.87,935,100,38,18,13,3,36,1,0,0,1,1,NA,10,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376.08,418,67,35,12,16,5,36,1,1,1,1,6,NA,7,5
946.12,1052,106,34,12,17,18,36,1,0,0,0,3,3,8,12
1240.61,1380,120,39,12,9,11,32,1,0,0,1,3,2,12,10
2275.43,2531,112,47,18,9,10,38,1,0,0,1,6,1,16,18
915.37,1018,94,33,12,20,4,37,1,0,0,0,1,1,12,7
1214.59,1351,100,40,13,12,15,38,1,0,0,1,3,3,10,9
520.37,579,84,23,12,11,2,30,1,1,1,1,5,3,9,4
1551.64,1726,118,39,10,14,4,32,1,0,0,1,0,1,12,8
1820.11,2025,111,41,17,10,13,37,1,0,0,1,3,2,12,16
710.78,791,111,30,12,15,3,33,1,0,0,1,0,1,12,12
1567.02,1743,97,44,12,12,5,28,1,0,0,1,1,2,12,8
1894.61,2107,110,45,15,14,1,37,1,0,0,1,5,1,14,12
1052.56,1171,100,40,12,4,8,31,1,0,1,0,0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684.76,762,122,36,13,8,1,30,1,0,0,0,4,1,16,16
956.77,1064,125,32,12,11,10,29,1,0,0,1,0,1,12,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182.66,1316,107,32,12,17,18,35,1,0,1,0,5,1,NA,NA
886.99,987,93,45,11,17,2,36,1,0,0,1,1,2,10,5
1099.86,1223,132,44,18,8,13,38,1,0,0,0,1,1,13,14
1478.33,1644,92,42,16,10,11,32,0,0,1,1,1,1,12,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064.39,1184,80,34,10,15,14,38,1,0,1,0,3,3,12,10
1707.76,1900,120,50,16,12,15,37,1,0,0,1,1,2,17,13
1894.61,2107,111,40,16,10,10,31,1,0,1,0,1,NA,16,12
599.6,667,110,36,14,10,4,32,1,0,1,1,2,2,13,16
946.12,1052,88,29,10,21,14,37,1,1,0,1,8,1,11,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1271.35,1414,115,28,14,9,10,30,1,0,0,0,2,1,12,10
354.8,395,83,45,12,16,3,37,1,1,1,1,4,1,3,NA
1111.7,1237,102,46,14,11,7,36,1,0,0,1,1,2,12,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
730.88,813,84,39,14,6,8,31,0,0,1,1,7,8,7,4
804.21,895,86,35,12,13,9,32,0,0,1,0,6,1,6,7
1050.2,1168,105,36,15,9,5,32,0,0,0,1,2,2,12,10
750.98,835,91,24,12,13,2,31,1,0,0,1,2,2,7,7
1705.38,1897,132,39,17,8,1,33,1,0,1,1,3,1,8,12
483.71,538,93,26,12,17,18,38,0,0,1,0,0,1,NA,NA
1011.17,1125,119,45,16,11,4,32,1,0,0,1,3,1,12,9
1005.25,1118,72,36,11,19,10,38,1,0,0,1,2,3,10,8
985.16,1096,101,47,12,15,12,37,1,0,0,1,5,2,12,NA
1182.66,1316,113,41,17,8,2,34,1,0,1,1,4,1,17,18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736.79,820,98,34,16,7,1,30,1,0,0,0,3,1,12,12
476.61,530,98,37,12,5,3,30,1,0,1,1,2,NA,12,12
1111.7,1237,102,30,13,15,12,30,1,1,1,1,2,2,NA,NA
1024.17,1139,121,30,16,7,4,28,1,0,0,0,1,NA,12,12
366.62,408,104,37,13,10,0,33,0,0,0,0,2,1,14,8
1117.61,1243,87,41,12,12,13,38,1,0,1,1,2,2,8,NA
1052.56,1171,73,46,12,6,8,31,1,0,0,1,3,1,12,12
1070.31,1191,102,31,12,17,4,37,1,0,0,0,5,5,12,12
1862.68,2072,117,28,12,13,2,30,1,0,0,1,3,3,10,10
727.33,809,100,31,14,9,4,30,1,0,0,0,3,3,12,12
851.51,947,101,39,13,1,7,29,1,0,0,1,4,2,11,11
955.59,1063,101,34,17,8,0,30,1,0,1,1,1,2,15,15
1137.71,1266,108,45,12,19,21,36,1,0,0,1,3,1,8,8
1082.13,1204,114,36,12,17,9,37,1,0,0,1,1,NA,10,NA
531.02,591,91,20,12,7,2,30,0,0,0,1,1,NA,NA,NA
1199.21,1334,110,42,16,13,9,30,0,0,0,1,1,2,12,14
642.18,714,90,31,14,5,7,38,1,1,1,1,1,2,6,NA
798.29,888,110,34,12,6,15,34,1,0,0,1,2,1,7,NA
1989.22,2213,115,48,16,10,4,37,1,0,1,1,1,2,12,17
1425.1,1585,86,32,10,13,0,32,1,1,0,1,5,5,8,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
855.06,951,102,44,12,12,10,30,1,0,0,1,10,6,12,6
1478.33,1644,104,32,13,13,3,33,1,0,0,1,3,3,9,NA
1212.23,1348,104,30,14,6,5,32,1,0,0,1,2,3,NA,12
449.41,500,106,28,12,15,11,30,1,0,1,0,2,1,7,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182.66,1316,97,45,12,17,15,36,1,0,0,1,1,2,12,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089.23,1212,102,45,14,9,11,33,1,0,0,0,1,2,16,NA
768.72,855,96,32,12,13,7,32,1,0,0,1,4,3,12,12
2064.91,2297,131,41,18,9,10,33,1,0,0,1,7,3,12,12
768.72,855,100,18,12,4,3,28,1,0,0,1,6,2,9,11
1109.33,1234,130,39,14,15,1,33,1,0,0,0,3,1,12,11
1414.46,1573,96,45,14,10,4,32,1,0,1,0,2,3,10,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792.37,881,93,27,13,9,5,29,1,0,0,1,2,NA,12,12
1405,1563,93,40,13,16,5,35,1,0,0,1,2,1,12,8
1505.52,1675,84,42,18,14,4,37,1,0,0,1,1,1,8,12
1058.47,1177,86,39,9,17,16,38,1,1,0,0,2,NA,NA,12
1213.4,1350,113,27,16,9,13,30,1,0,1,1,2,2,16,14
1668.73,1856,111,40,16,11,12,32,1,0,1,1,1,1,12,9
1119.97,1246,104,41,18,8,13,35,1,0,0,0,3,2,9,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532.19,592,94,29,15,9,4,31,1,0,0,0,1,1,12,NA
1820.11,2025,112,42,12,15,15,32,1,0,0,0,3,1,NA,10
650.46,724,99,42,12,17,11,36,1,0,1,1,1,2,12,12
1024.17,1139,85,26,12,11,12,30,1,1,1,0,8,5,6,0
1298.55,1444,105,22,14,6,1,32,0,0,1,1,1,2,12,NA
1251.24,1392,94,40,14,13,14,34,1,0,0,1,0,1,15,9
1859.14,2068,108,39,14,7,5,28,1,1,0,1,1,NA,12,8
473.06,526,90,36,10,12,1,32,1,1,0,1,5,3,8,NA
1153.09,1283,87,12,9,20,10,37,1,0,1,0,3,NA,5,4
650.46,724,110,35,16,15,1,38,1,0,0,0,2,1,NA,NA
630.36,701,109,31,15,8,2,30,1,0,0,1,2,2,15,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618.53,688,119,37,13,9,2,30,1,0,0,0,4,1,14,NA
1478.33,1644,91,28,12,13,1,34,1,0,0,1,3,1,11,5
409.19,455,110,37,12,16,17,38,1,0,1,1,2,NA,12,5
1478.33,1644,115,36,14,9,1,29,1,0,0,1,2,2,12,12
1267.81,1410,104,37,16,6,8,35,1,0,0,1,2,2,12,6
1279.63,1423,95,40,12,11,4,29,1,1,0,1,2,2,11,NA
526.28,585,80,31,10,19,0,38,1,0,0,0,5,5,NA,NA
2527.34,2811,145,50,16,17,8,38,1,0,0,1,2,1,12,12
1300.92,1447,92,37,13,21,12,38,1,1,0,1,6,6,12,NA
787.64,876,104,32,12,10,2,29,1,0,0,0,2,3,12,12
921.29,1025,84,29,12,9,6,30,1,0,0,1,0,1,8,12
792.37,881,88,27,12,9,2,29,1,0,0,1,7,3,10,8
1860.32,2069,112,42,18,7,8,34,1,0,1,1,1,1,14,18
1309.2,1456,112,38,12,12,5,38,1,0,0,1,5,3,11,12
521.55,580,74,24,12,12,11,30,1,0,1,0,4,4,8,6
1365.97,1519,117,25,13,9,1,28,1,0,0,1,3,2,12,12
1193.3,1327,118,37,16,11,12,32,1,0,1,0,0,1,12,10
1591.85,1771,134,42,15,15,7,35,1,0,0,1,2,1,12,10
1478.33,1644,117,45,16,10,7,33,1,0,0,1,1,1,12,14
1076.21,1197,82,26,14,5,5,30,1,1,1,1,10,NA,9,3
1705.38,1897,117,39,16,9,3,31,1,0,1,1,1,2,12,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1053.74,1172,90,36,12,16,16,32,1,0,1,0,5,5,12,9
1251.24,1392,98,45,14,14,15,34,1,0,0,0,2,3,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2068.47,2301,101,28,12,16,17,36,1,0,0,0,2,2,12,8
785.28,874,82,30,16,10,9,34,1,1,1,1,3,4,16,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1373.07,1527,121,40,12,5,10,34,1,0,0,1,5,6,10,NA
594.87,662,84,14,11,11,2,30,0,1,0,1,3,NA,9,9
1182.66,1316,89,40,12,17,8,38,1,0,1,1,7,7,1,4
664.65,739,74,27,11,14,5,34,1,0,0,1,10,6,6,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
852.7,949,134,38,13,9,9,30,0,0,1,1,3,3,8,8
921.29,1025,85,30,12,14,7,37,1,1,1,1,7,4,12,NA
1705.38,1897,113,45,16,8,10,35,1,0,1,1,2,2,8,8
3277.14,3645,134,45,18,6,7,34,1,0,0,1,4,3,16,16
983.97,1095,104,30,13,4,2,30,1,0,0,1,1,2,12,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1336.41,1487,109,40,18,4,13,38,1,0,0,0,1,2,18,15
1773.98,1973,119,41,15,8,5,33,0,0,0,1,1,1,12,18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989.22,2213,126,40,16,10,11,31,1,0,0,1,1,1,12,16
473.06,526,88,34,12,14,1,32,1,1,1,1,7,7,7,6
609.07,678,114,30,13,8,10,28,1,0,0,0,3,2,12,12
955.59,1063,107,32,16,6,7,29,1,0,0,0,7,6,12,12
966.23,1075,116,27,16,10,7,31,1,0,1,0,1,2,16,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579.51,645,82,33,18,7,8,31,0,0,0,1,2,NA,12,9
709.59,789,115,40,13,7,7,28,0,0,1,1,4,5,5,NA
1032.46,1148,95,36,12,14,3,38,1,0,0,1,5,1,10,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419.19,1579,96,26,9,18,0,34,1,0,0,1,4,3,NA,8
